Year,Industry,Percentage
2017,Manufacturing,4.2
2017,Construction,2.0
2017,Wholesale Trade,3.2
2017,Retail Trade,3.6
2017,Transport And Storage,3.3
2017,Accommodation,2.2
2017,Food  Beverage Services,4.2
2017,Information And Communications,3.9
2017,Financial And Insurance Services,4.2
2017,Real Estate Services,3.1
2017,Professional Services,4.3
2017,Administrative And Support Services,4.3
2017,Community Social And Personal Services,4.3
2018,Manufacturing,4.2
2018,Construction,2.8
2018,Wholesale Trade,4.5
2018,Retail Trade,3.0
2018,Transport And Storage,4.4
2018,Accommodation,4.5
2018,Food  Beverage Services,3.8
2018,Information And Communications,5.0
2018,Financial And Insurance Services,6.3
2018,Real Estate Services,5.0
2018,Professional Services,5.3
2018,Administrative And Support Services,4.5
2018,Community Social And Personal Services,4.9
2019,Manufacturing,3.1
2019,Construction,2.5
2019,Wholesale Trade,3.6
2019,Retail Trade,3.1
2019,Transport And Storage,3.3
2019,Accommodation,3.5
2019,Food  Beverage Services,4.4
2019,Information And Communications,5.0
2019,Financial And Insurance Services,5.6
2019,Real Estate Services,3.9
2019,Professional Services,4.6
2019,Administrative And Support Services,3.8
2019,Community Social And Personal Services,4.0
2020,Manufacturing,1.3
2020,Construction,0.4
2020,Wholesale Trade,2.0
2020,Retail Trade,2.0
2020,Transport And Storage,-3.0
2020,Accommodation,-5.3
2020,Food  Beverage Services,1.5
2020,Information And Communications,1.5
2020,Financial And Insurance Services,3.4
2020,Real Estate Services,0.8
2020,Professional Services,0.3
2020,Administrative And Support Services,1.9
2020,Community Social And Personal Services,1.9
2021,Manufacturing,4.0
2021,Construction,3.7
2021,Wholesale Trade,4.4
2021,Retail Trade,5.5
2021,Transport And Storage,2.8
2021,Accommodation,1.7
2021,Food  Beverage Services,2.6
2021,Information And Communications,5.1
2021,Financial And Insurance Services,4.1
2021,Real Estate Services,2.7
2021,Professional Services,5.3
2021,Administrative And Support Services,3.7
2021,Community Social And Personal Services,3.2
