,Level ($),,,,,Change (%) Over Corresponding Period Of Previous Year,,,,
,Annual,1Q ,2Q,3Q,4Q,Annual,1Q ,2Q,3Q,4Q
2011,"4,334","4,677","4,048","3,956","4,655",6.0,8.5,6.0,5.4,4.0
2012,"4,433","4,717","4,162","4,078","4,773",2.3,0.9,2.8,3.1,2.5
2013,"4,622","4,948","4,329","4,212","4,998",4.3,4.9,4.0,3.3,4.7
2014,"4,727","5,108","4,445","4,314","5,040",2.3,3.2,2.7,2.4,0.8
2015,"4,892","5,259","4,611","4,493","5,205",3.5,3.0,3.7,4.1,3.3
2016,"5,074","5,483","4,789","4,646","5,379",3.7,4.3,3.9,3.4,3.3
2017,"5,229","5,586","4,939","4,795","5,596",3.1,1.9,3.1,3.2,4.0
2018,"5,410","5,808","5,119","4,962","5,752",3.5,4.0,3.6,3.5,2.8
2019,"5,549","6,005","5,225","5,183","5,783",2.6,3.4,2.1,4.5,0.5
2020,"5,629","6,148","5,276","5,214","5,877",1.4,2.4,1.0,0.6,1.6
2021,"5,832","6,159","5,474","5,412","6,282",3.6,0.2,3.8,3.8,6.9
