year,sex,age,edu_1,employed
2017,males,15-19,primary_and_below,300
2017,males,20-24,primary_and_below,700
2017,males,25-29,primary_and_below,900
2017,males,30-34,primary_and_below,1200
2017,males,35-39,primary_and_below,1300
2017,males,40-44,primary_and_below,5100
2017,males,45-49,primary_and_below,9000
2017,males,50-54,primary_and_below,22200
2017,males,55-59,primary_and_below,27500
2017,males,60-64,primary_and_below,25000
2017,males,65-69,primary_and_below,17900
2017,males,70_and_over,primary_and_below,16900
2017,males,15-19,lower_secondary,800
2017,males,20-24,lower_secondary,1200
2017,males,25-29,lower_secondary,1600
2017,males,30-34,lower_secondary,2100
2017,males,35-39,lower_secondary,4400
2017,males,40-44,lower_secondary,6300
2017,males,45-49,lower_secondary,8600
2017,males,50-54,lower_secondary,16200
2017,males,55-59,lower_secondary,17600
2017,males,60-64,lower_secondary,17100
2017,males,65-69,lower_secondary,10200
2017,males,70_and_over,lower_secondary,5200
2017,males,15-19,secondary,5400
2017,males,20-24,secondary,8300
2017,males,25-29,secondary,7500
2017,males,30-34,secondary,9800
2017,males,35-39,secondary,14700
2017,males,40-44,secondary,17200
2017,males,45-49,secondary,24500
2017,males,50-54,secondary,28100
2017,males,55-59,secondary,27900
2017,males,60-64,secondary,22100
2017,males,65-69,secondary,10400
2017,males,70_and_over,secondary,6500
2017,males,15-19,post-sec,14100
2017,males,20-24,post-sec,24800
2017,males,25-29,post-sec,14600
2017,males,30-34,post-sec,12900
2017,males,35-39,post-sec,10900
2017,males,40-44,post-sec,13800
2017,males,45-49,post-sec,15800
2017,males,50-54,post-sec,14400
2017,males,55-59,post-sec,11600
2017,males,60-64,post-sec,11900
2017,males,65-69,post-sec,4900
2017,males,70_and_over,post-sec,2900
2017,males,15-19,dip_and_professional_qual,1700
2017,males,20-24,dip_and_professional_qual,35100
2017,males,25-29,dip_and_professional_qual,29600
2017,males,30-34,dip_and_professional_qual,25900
2017,males,35-39,dip_and_professional_qual,32200
2017,males,40-44,dip_and_professional_qual,29100
2017,males,45-49,dip_and_professional_qual,24500
2017,males,50-54,dip_and_professional_qual,19200
2017,males,55-59,dip_and_professional_qual,12700
2017,males,60-64,dip_and_professional_qual,8600
2017,males,65-69,dip_and_professional_qual,3200
2017,males,70_and_over,dip_and_professional_qual,1300
2017,males,15-19,degree,-
2017,males,20-24,degree,3400
2017,males,25-29,degree,53100
2017,males,30-34,degree,65100
2017,males,35-39,degree,73100
2017,males,40-44,degree,74700
2017,males,45-49,degree,59600
2017,males,50-54,degree,39100
2017,males,55-59,degree,23300
2017,males,60-64,degree,11800
2017,males,65-69,degree,6300
2017,males,70_and_over,degree,2500
2017,females,15-19,primary_and_below,100
2017,females,20-24,primary_and_below,400
2017,females,25-29,primary_and_below,700
2017,females,30-34,primary_and_below,1500
2017,females,35-39,primary_and_below,3000
2017,females,40-44,primary_and_below,5400
2017,females,45-49,primary_and_below,9200
2017,females,50-54,primary_and_below,16000
2017,females,55-59,primary_and_below,18200
2017,females,60-64,primary_and_below,20600
2017,females,65-69,primary_and_below,15600
2017,females,70_and_over,primary_and_below,11300
2017,females,15-19,lower_secondary,300
2017,females,20-24,lower_secondary,1000
2017,females,25-29,lower_secondary,1500
2017,females,30-34,lower_secondary,2400
2017,females,35-39,lower_secondary,4600
2017,females,40-44,lower_secondary,7300
2017,females,45-49,lower_secondary,8300
2017,females,50-54,lower_secondary,11900
2017,females,55-59,lower_secondary,8900
2017,females,60-64,lower_secondary,9700
2017,females,65-69,lower_secondary,5800
2017,females,70_and_over,lower_secondary,1800
2017,females,15-19,secondary,4600
2017,females,20-24,secondary,6100
2017,females,25-29,secondary,6700
2017,females,30-34,secondary,9700
2017,females,35-39,secondary,14600
2017,females,40-44,secondary,21000
2017,females,45-49,secondary,26400
2017,females,50-54,secondary,30900
2017,females,55-59,secondary,27100
2017,females,60-64,secondary,19300
2017,females,65-69,secondary,6800
2017,females,70_and_over,secondary,2300
