year,age,labour_force,employed,unemployed,outside_labour_force
2017,15-19,35000,32600,2400,210800
2017,20-24,153200,135200,18000,93200
2017,25-29,229300,217200,12000,25000
2017,30-34,242400,236200,6200,21700
2017,35-39,275000,265900,9100,31100
2017,40-44,281100,271500,9500,39500
2017,45-49,272400,264200,8300,41400
2017,50-54,254800,244300,10500,53000
2017,55-59,213600,205400,8100,71500
2017,60-64,166500,161300,5200,95300
2017,65-69,92100,88400,3600,120000
2017,70 and over,54400,53100,1400,281000
2018,15-19,37700,35300,2400,211200
2018,20-24,151300,135900,15400,95500
2018,25-29,236700,223500,13200,26200
2018,30-34,241200,234000,7300,23900
2018,35-39,270700,263100,7600,33400
2018,40-44,278400,271100,7300,35000
2018,45-49,270900,261700,9200,42400
2018,50-54,259800,251100,8700,56900
2018,55-59,224500,217300,7200,74500
2018,60-64,170900,165900,5100,103900
2018,65-69,93700,90600,3100,113000
2018,70 and over,56900,54400,2600,277800
2019,15-19,36300,32600,3600,203600
2019,20-24,148900,131300,17600,95300
2019,25-29,239000,224700,14300,26400
2019,30-34,253700,246000,7800,21000
2019,35-39,266700,259800,6900,30900
2019,40-44,270100,262000,8100,34500
2019,45-49,284100,273800,10300,39100
2019,50-54,256800,247000,9800,55200
2019,55-59,237100,227800,9200,79100
2019,60-64,170200,165800,4300,96000
2019,65-69,103700,100400,3400,121200
2019,70 and over,62100,59300,2800,291600
2020,15-19,30100,26300,3800,187800
2020,20-24,135700,115900,19800,106400
2020,25-29,247600,230600,17000,26300
2020,30-34,261500,252300,9200,21800
2020,35-39,272500,261700,10800,29000
2020,40-44,269200,259200,9900,33100
2020,45-49,277900,266300,11600,40100
2020,50-54,248700,237100,11600,54000
2020,55-59,235300,224500,10800,74800
2020,60-64,181900,173700,8200,98100
2020,65-69,109200,102900,6300,115000
2020,70 and over,75900,72200,3700,314500
2021,15-19,28800,26900,1900,154400
2021,20-24,139000,124000,15000,83700
2021,25-29,243700,229200,14500,26000
2021,30-34,305600,293900,11700,21700
2021,35-39,283600,274100,9500,27300
2021,40-44,280600,268600,12000,29000
2021,45-49,266700,252300,14500,35500
2021,50-54,221200,213000,8200,39600
2021,55-59,222500,213900,8600,63700
2021,60-64,199400,192000,7400,103100
2021,65-69,125400,120900,4500,121200
2021,70 and over,81100,77600,3500,299300
