year,age1,reentry_rate
2000,Below 30,85.1
2000,30 - 39,77.7
2000,40 - 49,74
2000,50 - 59,66.4
2000,40 & Over,71.2
2000,50 & Over,66
2000,60 & Over,62.2
2001,Below 30,84.6
2001,30 - 39,77.8
2001,40 - 49,70.3
2001,50 - 59,57
2001,40 & Over,64.3
2001,50 & Over,54.5
2001,60 & Over,37.7
2002,Below 30,81.4
2002,30 - 39,73
2002,40 - 49,69.5
2002,50 - 59,62.1
2002,40 & Over,66.1
2002,50 & Over,60.4
2002,60 & Over,48.1
2003,Below 30,82.3
2003,30 - 39,75.6
2003,40 - 49,71.4
2003,50 - 59,66.9
2003,40 & Over,69
2003,50 & Over,65.3
2003,60 & Over,49.6
2004,Below 30,84.8
2004,30 - 39,76.7
2004,40 - 49,70
2004,50 - 59,61.4
2004,40 & Over,65
2004,50 & Over,58.9
2004,60 & Over,42.9
2005,Below 30,85.8
2005,30 - 39,78.9
2005,40 - 49,75.5
2005,50 - 59,66.5
2005,40 & Over,70.1
2005,50 & Over,64.1
2005,60 & Over,43.9
2006,Below 30,86
2006,30 - 39,81.3
2006,40 - 49,76.1
2006,50 - 59,70.8
2006,40 & Over,73.2
2006,50 & Over,69.8
2006,60 & Over,58
2007,Below 30,84.7
2007,30 - 39,80.6
2007,40 - 49,75.9
2007,50 - 59,68
2007,40 & Over,72.5
2007,50 & Over,67.5
2007,60 & Over,63.3
2008,Below 30,91.3
2008,30 - 39,85.6
2008,40 - 49,82
2008,50 - 59,70.8
2008,40 & Over,77.1
2008,50 & Over,69.3
2008,60 & Over,56.7
2009,Below 30,75.2
2009,30 - 39,70.7
2009,40 - 49,64.7
2009,50 - 59,53.9
2009,40 & Over,59.2
2009,50 & Over,52.2
2009,60 & Over,41.9
2010,Below 30,83
2010,30 - 39,74.8
2010,40 - 49,66.1
2010,50 - 59,53.6
2010,40 & Over,59.9
2010,50 & Over,52.6
2010,60 & Over,47.7
2011,Below 30,83
2011,30 - 39,75.7
2011,40 - 49,69.9
2011,50 - 59,62.4
2011,40 & Over,65.4
2011,50 & Over,60.3
2011,60 & Over,49.8
2012,Below 30,80.1
2012,30 - 39,74.9
2012,40 - 49,69.1
2012,50 - 59,64.3
2012,40 & Over,66.5
2012,50 & Over,63.4
2012,60 & Over,59.7
2013,Below 30,78.5
2013,30 - 39,75.7
2013,40 - 49,67
2013,50 - 59,57.1
2013,40 & Over,62.3
2013,50 & Over,55.2
2013,60 & Over,45
2014,Below 30,84.7
2014,30 - 39,76.7
2014,40 - 49,68.8
2014,50 - 59,63.4
2014,40 & Over,65.2
2014,50 & Over,61.2
2014,60 & Over,53.1
2015,Below 30,85.2
2015,30 - 39,76.3
2015,40 - 49,71.9
2015,50 - 59,64.7
2015,40 & Over,67.8
2015,50 & Over,63.6
2015,60 & Over,60.4
2016,Below 30,80.1
2016,30 - 39,73.6
2016,40 - 49,64.2
2016,50 - 59,55.1
2016,40 & Over,58.8
2016,50 & Over,53
2016,60 & Over,46.8
2017,Below 30,80.3
2017,30 - 39,72.2
2017,40 - 49,65.7
2017,50 - 59,55
2017,40 & Over,59.7
2017,50 & Over,53.4
2017,60 & Over,48.9
2018,Below 30,81.7
2018,30 - 39,70.6
2018,40 - 49,64.4
2018,50 - 59,55
2018,40 & Over,58.6
2018,50 & Over,53.3
2018,60 & Over,47.9
2019,Below 30,82.5
2019,30 - 39,76.3
2019,40 - 49,65.8
2019,50 - 59,53.1
2019,40 & Over,58.5
2019,50 & Over,52.2
2019,60 & Over,49.8
2020,Below 30,77.3
2020,30 - 39,72.2
2020,40 - 49,63
2020,50 - 59,54.2
2020,40 & Over,56.2
2020,50 & Over,51.1
2020,60 & Over,44.6
2021,Below 30,80
2021,30 - 39,75.4
2021,40 - 49,68.1
2021,50 - 59,56
2021,40 & Over,60.3
2021,50 & Over,54.4
2021,60 & Over,50.6
