,Range,Year,Percentage
0,"Below  1,000",2017,11.1
1,"Below  1,000",2018,10.7
2,"Below  1,000",2019,9.7
3,"Below  1,000",2020,10.4
4,"Below  1,000",2021,9.4
5," 1,000 -  1,499",2017,10.2
6," 1,000 -  1,499",2018,9.6
7," 1,000 -  1,499",2019,9.1
8," 1,000 -  1,499",2020,9.0
9," 1,000 -  1,499",2021,8.3
10," 1,500 -  1,999",2017,10.3
11," 1,500 -  1,999",2018,9.7
12," 1,500 -  1,999",2019,9.2
13," 1,500 -  1,999",2020,9.4
14," 1,500 -  1,999",2021,9.4
15," 2,000 -  2,499",2017,9.2
16," 2,000 -  2,499",2018,9.1
17," 2,000 -  2,499",2019,8.7
18," 2,000 -  2,499",2020,8.5
19," 2,000 -  2,499",2021,8.6
20," 2,500 -  2,999",2017,7.7
21," 2,500 -  2,999",2018,8.1
22," 2,500 -  2,999",2019,7.8
23," 2,500 -  2,999",2020,7.6
24," 2,500 -  2,999",2021,7.9
25," 3,000 -  3,499",2017,6.8
26," 3,000 -  3,499",2018,6.7
27," 3,000 -  3,499",2019,6.4
28," 3,000 -  3,499",2020,6.5
29," 3,000 -  3,499",2021,7.1
30," 3,500 -  3,999",2017,5.6
31," 3,500 -  3,999",2018,5.3
32," 3,500 -  3,999",2019,5.1
33," 3,500 -  3,999",2020,5.6
34," 3,500 -  3,999",2021,5.7
35," 4,000 -  4,499",2017,4.3
36," 4,000 -  4,499",2018,4.5
37," 4,000 -  4,499",2019,4.8
38," 4,000 -  4,499",2020,4.6
39," 4,000 -  4,499",2021,4.8
40," 4,500 -  4,999",2017,3.5
41," 4,500 -  4,999",2018,3.4
42," 4,500 -  4,999",2019,3.9
43," 4,500 -  4,999",2020,3.7
44," 4,500 -  4,999",2021,4.2
45," 5,000 -  5,499",2017,3.0
46," 5,000 -  5,499",2018,3.2
47," 5,000 -  5,499",2019,3.1
48," 5,000 -  5,499",2020,3.3
49," 5,000 -  5,499",2021,3.4
50," 5,500 -  5,999",2017,2.4
51," 5,500 -  5,999",2018,2.4
52," 5,500 -  5,999",2019,2.5
53," 5,500 -  5,999",2020,2.6
54," 5,500 -  5,999",2021,2.7
55," 6,000 -  6,999",2017,3.4
56," 6,000 -  6,999",2018,3.9
57," 6,000 -  6,999",2019,4.1
58," 6,000 -  6,999",2020,3.8
59," 6,000 -  6,999",2021,4.1
60," 7,000 -  7,999",2017,2.4
61," 7,000 -  7,999",2018,2.5
62," 7,000 -  7,999",2019,2.9
63," 7,000 -  7,999",2020,2.8
64," 7,000 -  7,999",2021,2.9
65," 8,000 -  8,999",2017,1.8
66," 8,000 -  8,999",2018,2.0
67," 8,000 -  8,999",2019,2.1
68," 8,000 -  8,999",2020,2.0
69," 8,000 -  8,999",2021,2.2
70," 9,000 -  9,999",2017,1.2
71," 9,000 -  9,999",2018,1.4
72," 9,000 -  9,999",2019,1.5
73," 9,000 -  9,999",2020,1.5
74," 9,000 -  9,999",2021,1.7
75," 10,000 & Over",2017,5.1
76," 10,000 & Over",2018,5.4
77," 10,000 & Over",2019,5.7
78," 10,000 & Over",2020,5.5
79," 10,000 & Over",2021,6.0
