year,industry1,rate
2006,manufacturing,1.8
2006,others,1.6
2006,services,2.35
2007,manufacturing,1.1
2007,others,1.1
2007,services,1.89
2008,manufacturing,1.7
2008,others,1.6
2008,services,2.55
2009,manufacturing,1.9
2009,others,1.8
2009,services,2.61
2010,manufacturing,1.8
2010,others,1.4
2010,services,2.48
2011,manufacturing,1.6
2011,others,1.3
2011,services,2.58
2012,manufacturing,1.6
2012,others,1.6
2012,services,2.79
2013,manufacturing,1.8
2013,others,2.1
2013,services,3.03
2014,manufacturing,1.9
2014,others,2.2
2014,services,3.02
2015,manufacturing,1.9
2015,others,2.4
2015,services,3.08
2016,manufacturing,2.0
2016,others,2.1
2016,services,3.18
2017,manufacturing,2.0
2017,others,2.0
2017,services,3.25
2018,manufacturing,1.5
2018,others,2.3
2018,services,2.55
2019,manufacturing,2.0
2019,others,3.0
2019,services,3.18
2020,manufacturing,2.3
2020,others,3.0
2020,services,3.36
2021,manufacturing,2.4
2021,others,1.7
2021,services,3.26
