year,industry1,rate
2006,manufacturing,1.5
2006,others,1.1
2006,services,1.95
2007,manufacturing,1.2
2007,others,0.9
2007,services,1.73
2008,manufacturing,1.5
2008,others,1.2
2008,services,1.98
2009,manufacturing,1.6
2009,others,1.4
2009,services,2.01
2010,manufacturing,1.5
2010,others,1.4
2010,services,2.04
2011,manufacturing,1.5
2011,others,1.2
2011,services,2.08
2012,manufacturing,1.5
2012,others,1.4
2012,services,2.18
2013,manufacturing,1.5
2013,others,1.5
2013,services,2.38
2014,manufacturing,1.5
2014,others,1.5
2014,services,2.35
2015,manufacturing,1.6
2015,others,1.7
2015,services,2.41
2016,manufacturing,1.6
2016,others,1.7
2016,services,2.35
2017,manufacturing,1.5
2017,others,1.6
2017,services,2.44
2018,manufacturing,1.5
2018,others,2.0
2018,services,2.05
2019,manufacturing,1.6
2019,others,2.1
2019,services,2.32
2020,manufacturing,1.5
2020,others,1.5
2020,services,2.45
2021,manufacturing,1.5
2021,others,1.1
2021,services,2.37
