year,industry1,retrench
1998,manufacturing,20700
1998,construction,2450
1998,services,9630
1998,others,30
1999,manufacturing,8370
1999,construction,830
1999,services,6320
1999,others,10
2000,manufacturing,7500
2000,construction,380
2000,services,4080
2000,others,0
2001,manufacturing,15680
2001,construction,900
2001,services,10780
2001,others,200
2002,manufacturing,9660
2002,construction,1000
2002,services,9290
2002,others,180
2003,manufacturing,7480
2003,construction,740
2003,services,8770
2003,others,270
2004,manufacturing,4700
2004,construction,410
2004,services,5220
2004,others,310
2005,manufacturing,7080
2005,construction,540
2005,services,3500
2005,others,20
2006,manufacturing,8860
2006,construction,490
2006,services,3670
2006,others,70
2007,manufacturing,5500
2007,construction,70
2007,services,2990
2007,others,20
2008,manufacturing,10430
2008,construction,540
2008,services,5870
2008,others,50
2009,manufacturing,13640
2009,construction,980
2009,services,8720
2009,others,90
2010,manufacturing,4490
2010,construction,1350
2010,services,3960
2010,others,0
2011,manufacturing,4460
2011,construction,1050
2011,services,4430
2011,others,50
2012,manufacturing,4050
2012,construction,650
2012,services,6300
2012,others,10
2013,manufacturing,5000
2013,construction,1120
2013,services,5430
2013,others,10
2014,manufacturing,3970
2014,construction,1690
2014,services,7260
2014,others,10
2015,manufacturing,5210
2015,construction,1780
2015,services,8510
2015,others,80
2016,manufacturing,6280
2016,construction,1920
2016,services,10880
2016,others,100
2017,manufacturing,3790
2017,construction,2020
2017,services,8900
2017,others,20
2018,manufacturing,2570
2018,construction,1200
2018,services,6960
2018,others,0
2019,manufacturing,2790
2019,construction,860
2019,services,7000
2019,others,30
2020,manufacturing,5320
2020,construction,990
2020,services,19760
2020,others,40
2021,manufacturing,1710
2021,construction,240
2021,services,6020
2021,others,50
